,importances_mean,importances_std
length,0.15470937499999998,0.0027895899974257252
n_ns,0.08088124999999999,0.0031049131765902177
life_time,0.065490625,0.002825067202733183
n_constant_chars,0.024928124999999992,0.0024718808745714167
vowel_ratio,0.023793749999999995,0.0020764456206102773
mean_TTL,0.022540624999999988,0.001102408644319379
n_mx,0.02246562499999998,0.00217455573902322
num_ratio,0.016809374999999994,0.0013355713583828434
js_comparison_average,0.014831249999999987,0.0017575776580912978
n_nums,0.014634374999999996,0.0011024297372398718
stdev_TTL,0.014087499999999992,0.0012234686146326487
active_time,0.013015624999999998,0.001318974886570665
n_labels,0.01290624999999999,0.0014528757244158448
n_vowel_chars,0.011999999999999993,0.0017076528741823173
n_ip,0.01190624999999998,0.0017533639622277538
ns_similarity,0.010987499999999992,0.0013764613763001662
n_vowels,0.010237499999999995,0.0013054730352112913
entropy,0.010056249999999985,0.0014386680034101304
js_comparison_max,0.009421874999999986,0.00150489460235693
n_js_function,0.008703124999999996,0.0013779006921182458
alpha_numer_convs,0.008440624999999988,0.0010575081911729412
vowel_constant_convs,0.008318749999999993,0.0014165403585899192
n_constants,0.007724999999999989,0.0016367222409934175
js_comparison_min,0.005074999999999994,0.0010957645750364494
max_consecutive_chars,0.004962499999999996,0.001087589051789847
n_css_selectors,0.0047937499999999855,0.0011041220961979423
get_html_id_class_rate,0.0036249999999999867,0.0012201466841962679
n_other_chars,0.002865624999999996,0.0008820896636523113
html_id_class_num,0.001318749999999995,0.0009907840627333114
n_ptr,0.0007531249999999833,0.0005637540117283677
rv,0.0003999999999999915,0.0009654519365470493
n_countries,0.0002624999999999944,0.0001887308569663049
